ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1,Virus_HPV
421.9095,0.435,28.7081,1466.9421,1327.5337,962.3749,903.2188,651.5876,2191.605,304.3432,108.7429,16.9639,940.8438,152.0226,93.5189,80.6873,6993.9104,2058.7212,2821.4441,183.5581,1019.5672,161.592,992.6055,28296.4332,32838.4993,20828.3123,12295.5633,6494.7803,4638.321,1103.9582,4325.1414,373.2057,32602.4358,8514.3606,3127.3075,3918.0078,11160.5459,702.9143,72.6403,354.50199999999995,0.0,0.0,20.6612,15.8765,19.3562,1.5224,118.9648,807.96,399.30400000000003,1.0874,0.0,7310.3523,1.3049,0.8699,136.7986,285.7764,551.7616,218.7908,118.7473,155.0674,93.3014,1965.6372,1946.9334,136.7986,487.8208,1431.7943,357.1118,180.2958,285.7764,158.9822,656.8073,146.368,18042.1923,1639.8434,393.4319,2.1719999999999997
117.2568,0.0,15.4412,900.1749,1283.3102,1097.5330000000001,395.44,45.8411,2838.5307,331.9549,178.0566,16.165,685.928,20.5079,63.4538,43.1872,1280.6563,566.2585,286.8689,114.3615,1096.8044,53.803000000000004,708.1247,34169.6942,39725.7133,42145.0872,10623.1715,5015.4074,4563.122,642.2583,3371.0115,4845.1656,33545.0872,9266.3948,2181.7359,3614.6933,11790.8197,244.4056,33.5364,637.6742,0.0,0.0,0.9651,21.2317,18.5777,0.0,25.092,226.0691,118.9457,0.7238,0.0,4060.5754,0.4825,0.9651,159.2376,222.6914,343.3259,81.0664,22.9206,353.9417,69.2442,919.7177,1336.6307,56.9395,461.5477,1215.656,44.6348,48.0125,36.9142,93.6124,18.3364,35.4666,3965.2573,2467.4588,2869.1718,135.817
269.6692,0.556,15.0125,1414.5121,2002.5021,2789.5468,770.0862,47.2616,3428.4126,190.4754,311.3706,30.581,495.6909,11.3984,51.4317,22.7968,1985.2655,594.1062,1072.5605,443.4251,959.1326,200.4448,961.6347,90340.4226,91981.59300000001,70378.4292,16432.3408,9985.5074,3166.5277,956.3525,1122.8802,408.3959,37086.4609,12863.0386,1565.2321,4758.6878,3021.6847,285.5157,27.8009,296.3581,0.278,0.0,3.6141,26.6889,7.7843,0.0,16.4026,213.7893,112.0378,0.278,0.0,8363.8504,0.0,0.556,49.7637,372.8107,176.81400000000002,87.01700000000001,18.6266,165.1376,187.6564,616.0689,1479.8443,50.3197,841.5346,1619.8388,19.4607,45.0375,23.0748,48.3736,64.7762,20.8507,1414.5121,1653.3222,126.4943,175.99200000000002
146.7264,0.0,13.9153,692.4496,805.097,1478.9929,406.19300000000004,79.5157,2569.0213,305.0622,37.77,21.8668,350.5319,4.6384,36.4447,22.5295,4290.5373,172.9468,216.6804,198.7894,1452.4877,53.6731,575.8265,13297.6175,13268.1834,12264.9862,7486.4939,4295.7522,1617.4829,660.6433,4098.3742,561.2487,17675.0258,5471.8498,1916.9591,3133.5831,36214.1227,273.6667,13.2526,47.7094,0.0,0.0,1.9879,5.9637,26.5052,0.0,6.6263,414.1445,35.1195,0.0,0.0,3760.0877,0.0,0.0,63.6126,277.6425,326.0146,48.3721,31.1437,165.6578,94.0936,701.0639,2726.7276,29.1558,370.4109,922.4622,135.8394,49.6973,18.5537,50.36,203.4278,18.5537,2655.1634,1388.8751,1516.1003,202.407
205.6575,0.0,55.8104,1609.3272,2161.315,1038.9908,1909.0214,107.0336,965.5963,965.5734,90.2141,63.4557,719.419,3.8226,35.1682,87.156,2406.7278,1018.3486,6207.9511,132.263,880.7339,327.2171,570.3364,81650.58099999999,136442.8287,85954.7248,44854.1131,22046.4985,12521.4067,1382.263,12120.7951,4742.3547,71280.58099999999,31585.6575,3755.3517,2817.2783,8845.5657,379.2049,61.9266,772.1713,0.0,0.0,38.2263,25.9939,4.5872,0.0,6.8807,80.2752,123.0887,0.7645,0.0,8360.0917,0.0,0.0,235.47400000000002,344.0367,396.789,191.896,73.3945,420.4893,172.0183,2362.3853,3532.1101,144.4954,516.055,1041.3073,38.9908,42.0489,29.8165,55.0459,59.633,37.4618,1295.107,2149.0826,123.0887,173.593
105.3333,0.0,6.6667,175.1111,484.8889,1209.7778,990.2222,63.1111,3550.2222,72.7244,63.1111,2.2222,347.1111,21.7778,29.7778,36.0,136.8889,336.0,1177.3333,324.0,729.7733,216.8889,232.4444,5072.6311,8414.0533,5144.1689,1794.2756,822.6133,725.7778,163.5556,497.7778,19.1111,3882.2222,1735.0267,1100.9022,4062.2222,3966.2222,108.8889,32.4444,407.5556,0.0,0.0,44.4444,8.0,9.7778,0.8889,0.0,80.8889,128.4444,0.0,0.0,1093.7778,0.0,1.7778,172.4444,377.3333,399.5556,60.8889,39.1111,580.8889,57.3333,370.6667,1013.3333,110.2222,196.4444,224.7067,15.5556,17.3333,25.7778,96.4444,137.7778,6.2222,1320.0,1186.6667,1.3333,185.495
204.5665,0.0,63.5379,1091.5803,1749.1970000000001,1072.5189,1225.0098,79.4223,2484.9654,518.4879,294.1803,31.7689,621.4002,8.8953,86.4115,189.3428,962.5984,1165.2842,2822.3513,721.79,2015.4206,294.8156,601.0681,27525.08,40520.7626,26414.4574,10809.1355,7067.2389,6603.4889,97.8483,10517.4205,191.2489,27161.1606,19863.203,10565.0739,3910.7547,6576.803000000001,282.7434,202.0504,383.1332,0.0,0.0,13.3429,17.7906,13.3429,3.1769,10.8014,263.0467,347.55199999999996,1.2708,0.0,4058.7979,0.0,2.5415,149.314,145.5017,139.7833,131.5234,114.3681,397.1116,524.1873,1246.6126,1653.2549,353.9058,602.3388,874.1093,76.2454,169.6461,78.7869,139.1479,102.9313,34.3104,3408.8057,2496.4022,20.3321,231.38
187.1209,0.3324,67.1375,1605.3178,1869.5472,1137.017,1529.5388,129.6219,2356.1279999999997,620.9988,144.2459,38.5542,883.4233,39.8837,36.8924,102.3681,236.6431,1324.4703,2551.2256,379.5596,1073.5355,292.4803,615.538,39097.8845,74059.6759,49047.5945,7694.8899,4643.4566,4094.3914,277.1915,5405.5671,142.9165,24877.4408,11425.6851,4476.0515,6007.4782,3985.7084,127.9601,57.1666,592.2725,0.0,0.0,18.9447,17.6153,13.2946,1.3295,9.9709,213.71,380.5567,0.0,0.0,2801.0669,0.3324,1.6618,174.4911,877.1084,311.425,188.4504,110.3448,353.3029,119.65100000000001,2047.6942,1101.1217,233.6518,464.3124,1290.9813,96.7179,133.9427,63.8139,166.18200000000002,246.2817,25.9244,2341.5039,1896.8010000000002,13.6269,421.853
170.3892,0.263,4.4702,377.0707,229.2927,489.6135,209.3084,19.9842,4370.7599,136.6001,51.5383,3.9443,145.1486,0.7889,12.0957,5.7849,393.8996,75.9926,121.74600000000001,175.6508,1343.1501,83.0923,237.97,38985.6219,11371.1228,25064.06,2350.7757,1286.6158,144.0968,267.1575,402.8399,438.6011,7148.041,625.5614,376.4922,4825.9269,3429.9237,72.0484,6.3108,61.0045,0.0,0.0,0.7889,41.5461,3.1554,0.0,7.0997,175.9138,78.8851,0.0,0.0,840.1262,0.0,0.7889,38.1278,524.3229,103.0765,34.9724,19.7213,192.7426,61.2674,438.6011,896.6605,18.1436,368.6563,640.518,1266.1057,67.8412,6.5738,32.8688,2.6295,16.3029,5504.3387,2602.6821,68.1041,1035.233
200.6027,0.0,58.1431,1839.8782,2514.1553,812.4810000000001,1624.3531,54.4901,2164.3836,844.8128,115.6773,63.6225,401.2177,24.3531,47.4886,123.2877,299.5434,1393.9117,2270.3196,102.5875,1550.3775,308.067,622.8311,78871.86,88240.2953,53883.9056,27611.9574,12198.0883,6496.8037,2608.828,6926.3318,1274.5814,61933.0289,15092.483999999999,4455.6438,4514.4597,2243.8356,298.3257,80.3653,468.4932,0.0,0.0,32.8767,18.5693,7.9148,0.3044,19.1781,307.7626,115.0685,0.6088,0.0,3866.7884,2.9467,1.9239,199.0868,379.6043,264.2314,117.5038,170.4718,394.5205,100.1522,2207.6104,959.2085,224.0487,608.5236,2303.8539,65.449,98.3257,58.1431,90.411,30.4414,27.7017,3536.0731,1340.0304,38.6606,794.6139999999999
