AS,LOH_n_seg,LOH_frac_altered,MutationsSilent,MutationsNonSilent,CNV_segs,CNV_frac,HRD,purity,Neoantigen_num,numberOfBindingExpressedPMHC
15,33,0.23424535008159195,0.47189158924999997,1.4233924138499998,216.0,0.6920220823338395,37,0.5,5.0,63.0
6,38,0.3334036366467081,1.032024456,2.2114809772,270.0,0.9999992639363628,51,0.77,5.0,63.0
7,48,0.35725092475804643,0.46628263630000005,1.8962160542,227.0,0.9474634406072908,46,0.92,5.0,63.0
15,16,0.23058806751619115,0.47189158924999997,1.4233924138499998,121.0,0.44489299341855537,22,0.5,5.0,63.0
14,96,0.3270458937453272,0.47189158924999997,1.4233924138499998,528.0,0.7564148202382653,86,0.74,5.0,63.0
19,79,0.3229263670161411,0.5949516483,2.2948135005,354.0,0.9319183025896984,41,0.82,5.0,19.0
12,34,0.23018791660695925,1.6979117541,4.9365212109,238.0,0.7891168431545038,30,0.79,5.0,63.0
23,52,0.2880894939083865,1.1476746438,2.5822679486,249.0,0.6827140138454747,30,0.61,5.0,120.0
19,42,0.2922798654592808,0.4819463074,1.4137091683,235.0,0.6982154396518538,34,0.54,5.0,63.0
21,36,0.26503744054840506,0.0,0.0,277.0,0.8384044526592664,46,0.94,5.0,63.0
5,125,0.2356601880737656,0.3346896856,1.6399794594,699.0,0.6381041882550945,40,0.76,5.0,101.0
27,31,0.3371298235034022,0.39883089369999997,1.7947390216999999,178.0,0.7860923526154946,32,0.76,5.0,63.0
24,21,0.3006348394206801,0.47189158924999997,1.4233924138499998,148.0,0.667070621817522,15,0.99,5.0,63.0
20,49,0.2693309636556183,0.47189158924999997,1.4233924138499998,223.0,0.6931119724684603,39,0.72,5.0,63.0
2,56,0.2637013689867672,0.2907940046,0.3554148945,365.0,0.4277729471167631,65,0.84,5.0,63.0
16,127,0.4400615307184947,0.8113820676000001,2.4653532055,396.0,0.7922004110104823,78,0.71,5.0,128.0
12,22,0.1890655395642254,0.6451555046999999,2.4838486932,187.0,0.6138937836452181,58,0.52,5.0,63.0
17,70,0.3819041541910832,0.9135527004999999,3.258337965,335.0,0.8321399286623241,69,0.8,5.0,63.0
8,71,0.3747174826396261,1.0737557453,3.4897061721,239.0,0.6125192297975981,64,0.69,5.0,225.0
16,58,0.3135070888079489,0.5154932794,2.0297547876,310.0,0.8400545149936121,72,0.86,5.0,86.0
31,49,0.1350198777511934,0.47189158924999997,1.4233924138499998,345.0,0.8333225584528671,36,0.9,5.0,63.0
9,69,0.29717882021551323,0.47189158924999997,1.4233924138499998,345.0,0.844703374703612,47,0.82,5.0,63.0
10,44,0.3031171295787249,0.8966405926000001,3.2279061332,213.0,0.95269059982341,33,0.89,5.0,63.0
21,60,0.31728482140349423,0.0,0.0,415.0,0.7546011601948871,41,0.89,5.0,63.0
14,75,0.3175093890637408,0.47189158924999997,1.4233924138499998,285.0,0.8621902723884581,42,0.93,5.0,63.0
10,88,0.4594618086041346,0.3247696766,1.5913714153,443.0,0.7508409318543071,74,0.69,5.0,63.0
30,79,0.3163285946002645,0.47189158924999997,1.4233924138499998,475.0,0.9176385569004442,45,0.83,5.0,63.0
12,22,0.2971014493519131,0.47189158924999997,1.4233924138499998,203.0,0.9999974363743456,8,0.99,5.0,63.0
18,31,0.21703249459608204,0.47189158924999997,1.4233924138499998,334.0,0.6692667518189048,28,0.77,5.0,63.0
18,37,0.2303485580396677,0.47189158924999997,1.4233924138499998,176.0,0.6303758704878919,62,0.42,5.0,63.0
12,80,0.2888677538931434,0.47189158924999997,1.4233924138499998,399.0,0.8548781232969845,62,0.76,5.0,63.0
25,36,0.3211944876263315,0.3525353913,1.9549689878999998,266.0,0.7555971683158199,37,0.94,5.0,63.0
27,19,0.1883986977357648,0.3304902087,1.2393382826000001,256.0,0.9220256664973931,23,0.92,5.0,63.0
9,40,0.2964671596865171,0.19423187030000003,1.0682752864,324.0,0.8686627078440232,30,0.88,5.0,63.0
15,35,0.4017775492144817,0.1876565173,0.5361614779,241.0,0.8592032432860635,27,0.97,5.0,63.0
9,34,0.2666276522046616,0.8127790935,1.6836138365,174.0,0.9316708437135574,14,0.8,5.0,82.0
24,77,0.29378139173350953,0.45844382899999997,2.1203027093,298.0,0.7024798631874046,23,0.71,5.0,63.0
5,54,0.36263617326474895,0.7526235298,1.99734706,299.0,0.9399373619912508,71,0.92,5.0,39.0
15,23,0.11985537681839885,0.9164441998,1.7218042541999998,169.0,0.6515546818586924,26,0.86,5.0,63.0
4,64,0.3686738687913856,0.47189158924999997,1.4233924138499998,285.0,0.8513075169279531,70,0.88,5.0,63.0
29,30,0.29006161436545325,0.6070927004,2.0944698165,166.0,0.8897081868152614,26,0.94,5.0,63.0
17,21,0.10646225961758612,1.3742199655,5.210584036,186.0,0.5751868916628284,28,0.44,5.0,63.0
24,15,0.1435428724217687,1.9499429011000002,8.172554806,97.0,0.6430591493473211,10,0.49,15.0,488.0
17,22,0.3292566679561192,2.7194200571,8.530391336900001,125.0,0.5379844079955657,14,0.5,20.0,325.0
22,31,0.31984640922996355,11.618733017,43.391828468,194.0,0.4953050392941275,33,0.21,133.0,2452.0
1,3,0.019193188232306743,1.1652664894,3.2567704448000003,59.0,0.06606350560917934,8,0.49,4.0,137.0
20,39,0.2440152441695072,2.0414429736,5.7940954985,251.0,0.8140696343659948,45,0.48,30.0,383.0
21,14,0.054043287275811216,4.3585627889,14.63875916,163.0,0.6931165842551545,27,0.57,51.0,601.0
25,45,0.41815020318237067,2.3827142825,6.7258896836,197.0,0.6335702164452544,36,0.61,1.0,251.0
11,31,0.25021719490638905,1.7959414219999998,7.0620069475,200.0,0.6992002592087313,13,0.82,58.0,311.0
7,56,0.1716788141083312,5.6947950894,21.311449664,241.0,0.3297293662585878,43,0.87,56.0,949.0
23,57,0.3220951239507413,6.382111754099999,18.730755892,235.0,0.4866075491279093,47,0.33,79.0,756.0
31,16,0.19827838183809884,1.0508091625,3.0648600572,99.0,0.7141842528056451,21,0.44,29.0,144.0
1,7,0.05773625658569834,1.142155416,3.4850383205,87.0,0.027215039453800813,10,0.46,4.0,102.0
24,24,0.29380467598854304,3.1987580289,9.7403622861,143.0,0.5062043144374561,21,0.38,34.0,506.0
18,19,0.29966591191334835,8.5824909042,28.061523161,95.0,0.4528305493902154,32,0.24,20.0,434.0
20,27,0.13160914073078053,1.6239721488999999,5.1619114732,171.0,0.8154061653783541,24,0.67,4.0,175.0
19,11,0.12841864567258954,2.0950792402,7.406547736399999,85.0,0.5519829069608698,22,0.4,34.0,338.0
6,7,0.13732873043456298,2.0865398358,6.9153891702,65.0,0.22372985189116412,5,0.55,13.0,91.0
22,31,0.16755516699313686,2.3355291545,7.2430967449,243.0,0.8092575992966567,46,0.59,6.0,256.0
7,41,0.1308035343419766,0.4439132743,1.0357976399,281.0,0.2309126888385113,20,0.62,9.0,39.0
19,14,0.10282455237465776,5.3361882136,18.324822162,111.0,0.6216725406560127,29,0.24,24.0,1211.0
10,10,0.16403307735015432,0.3824365373,1.0296368312000002,83.0,0.2352348198571377,10,0.61,5.0,63.0
4,15,0.10905007137215487,0.17763846190000002,1.3026820536,133.0,0.1485411677938925,14,0.7,3.0,83.0
20,7,0.12283948617406652,7.140196007799999,26.406923252,192.0,0.5539078547441151,34,0.47,128.0,1418.0
20,19,0.18638959674092026,2.116684341,7.0556144699,133.0,0.2994125438392193,20,0.2,10.0,283.0
21,27,0.13832128860347928,5.0385565164,14.493259627,267.0,0.6420102193043901,29,0.36,44.0,725.0
6,19,0.14609096633061952,0.2917570834,0.8752712502,127.0,0.1889019762295406,17,0.62,0.0,58.0
2,34,0.1204678553302232,0.437422753,1.1081376407999999,182.0,0.24077942766226884,19,0.45,5.0,31.0
15,40,0.5661378113557817,0.9898487606999999,4.206857233,112.0,0.8001089273857048,12,0.59,5.0,247.0
2,77,0.9591891017309138,4.4805233644,15.344258097,123.0,0.6619548826948701,21,0.71,4.0,245.0
20,26,0.2348983995882054,3.1280659305,10.065558687000001,223.0,0.6123017458463778,41,0.63,11.0,198.0
8,11,0.13417243439089244,0.3116060509,0.997139363,93.0,0.29601628625585497,14,0.82,4.0,36.0
10,29,0.2721767612255818,1.0651297388,2.9760977994999998,199.0,0.9098250389423332,11,0.73,5.0,135.0
8,3,0.06434432274282252,0.2853090653,1.8259780181,73.0,0.15676758973575086,1,0.13,5.0,63.0
9,13,0.15870128741203748,0.8051937991,1.8691998907,130.0,0.19922562825148002,17,0.73,5.0,63.0
6,12,0.11125086488361616,0.4763895323,1.4571915105000002,75.0,0.17450609424144606,9,0.61,5.0,63.0
7,16,0.06863321005645516,0.4533920612,1.6718832257,231.0,0.155485660745586,7,0.9,1.0,36.0
8,13,0.07484495364370758,0.4793976059,1.325393381,107.0,0.16608904863205934,8,0.82,5.0,63.0
6,23,0.05826495927281264,0.47189158924999997,1.4233924138499998,163.0,0.10156614573022983,8,0.63,5.0,63.0
2,3,0.05064921642102983,0.3981048956,1.4502392625,63.0,0.6174896733324643,5,0.85,5.0,63.0
7,109,0.04640442043581065,0.2875991779,1.0353570403,860.0,0.20377191142554416,11,0.76,4.0,22.0
30,22,0.28077729515050553,0.1999032525,0.7139401876000001,86.0,0.4116560014950044,9,0.27,5.0,42.0
6,25,0.1366294881408541,0.28312784809999997,0.45300455700000003,73.0,0.149048821689387,3,0.28,0.0,21.0
8,11,0.058760426083305575,0.47189158924999997,1.4233924138499998,161.0,0.2746527242027668,4,0.56,5.0,63.0
7,23,0.07366630452880367,0.8458574989000001,1.6071292479,166.0,0.15607115552914988,2,0.92,5.0,63.0
7,8,0.1033888874275436,0.3133731984,1.1680273758,131.0,0.1643362132483094,2,0.58,5.0,63.0
1,0,0.0,0.1445452622,0.462544839,85.0,0.05433422511351597,2,0.2,5.0,30.0
4,9,0.07732923910515183,0.47189158924999997,1.4233924138499998,178.0,0.1454178403584821,7,0.63,5.0,63.0
6,15,0.07299049677574393,0.6553256205,2.1939162077,173.0,0.15102982217623095,6,0.82,5.0,63.0
6,36,0.108850940663984,0.47189158924999997,1.4233924138499998,318.0,0.1575613333116167,11,1.0,5.0,63.0
8,11,0.0957248019238468,0.47189158924999997,1.4233924138499998,87.0,0.2512700738303498,4,0.73,5.0,63.0
20,41,0.16279045308407333,0.028193955,0.5638791003,105.0,0.9235167895927718,8,0.62,5.0,63.0
19,26,0.07208935873565937,0.5650056358,1.3842638077,162.0,0.6671356801056327,7,0.67,1.0,56.0
7,64,0.0913689783498682,0.478384223,1.2663111784,186.0,0.1467775939113653,11,0.71,5.0,63.0
6,11,0.06019032004817345,0.5596579572,1.6509909738,110.0,0.13033348137921122,2,0.79,5.0,63.0
5,20,0.05970123111170924,0.3660266353,1.2951711711,108.0,0.15009390260758898,3,0.82,8.0,81.0
8,42,0.10772628693667728,0.5023577603,1.1721681073999999,117.0,0.2107991008127066,8,0.79,11.0,49.0
12,8,0.2254149550970861,0.47189158924999997,1.4233924138499998,77.0,0.3656226016803629,0,0.62,5.0,63.0
11,49,0.2645570659625128,0.47189158924999997,1.4233924138499998,330.0,0.8849735862348136,11,0.67,5.0,63.0
10,15,0.14112266436007806,0.47189158924999997,1.4233924138499998,80.0,0.2944864672461701,9,0.58,5.0,63.0
10,54,0.2786436391180377,0.1130039716,1.0170357442,124.0,0.6453399218558894,12,0.58,5.0,63.0
10,53,0.14075428530247036,0.3699620945,0.996051793,79.0,0.2600235329677631,11,0.67,1.0,39.0
6,20,0.08713670144296272,0.3951709545,1.2419658569,128.0,0.13062189145788353,3,0.55,5.0,63.0
9,67,0.1982649204944835,0.3097702116,1.4362073446999999,108.0,0.3210192154381843,18,0.67,5.0,63.0
8,52,0.06167001282371505,0.5966563886999999,1.8183813752000002,166.0,0.19812486849986047,3,0.86,5.0,63.0
6,36,0.05875693667407366,0.5629904069,1.6326721799000001,120.0,0.26352072178234537,2,0.95,2.0,98.0
11,33,0.12366148757835745,0.47189158924999997,1.4233924138499998,175.0,0.2632495145889682,18,0.73,5.0,63.0
20,49,0.06749918549233884,0.47189158924999997,1.4233924138499998,303.0,0.7002863157732574,5,0.82,5.0,63.0
8,2,0.04986521960512538,0.47189158924999997,1.4233924138499998,80.0,0.1430543253860831,0,0.38,5.0,63.0
8,32,0.06284078489849723,0.47189158924999997,1.4233924138499998,168.0,0.3765615598666282,15,0.9,5.0,63.0
13,32,0.31017020077464946,0.47557240520000005,1.2868429789,167.0,0.6036059304794155,7,0.62,1.0,40.0
11,35,0.10861576771505213,0.4798389186,1.5524200309,101.0,0.2283983255636409,6,0.79,5.0,63.0
6,41,0.11273492848149698,0.2663286305,1.0949065922,182.0,0.2239026280851546,11,0.84,0.0,34.0
7,82,0.14624218946834472,0.47988653,1.1856020153,188.0,0.6109266255181569,11,0.82,5.0,63.0
7,63,0.18279911682757186,0.4460191895,1.3938099673,126.0,0.24458357791239665,14,0.57,2.0,70.0
8,20,0.06332551802383557,0.72430597,1.5879015497,125.0,0.3196604499052494,1,0.57,5.0,63.0
6,4,0.09168526194192328,0.47189158924999997,1.4233924138499998,61.0,0.1414395475413278,0,0.52,5.0,63.0
21,52,0.19143925395918893,0.4512666689,1.7486583419,74.0,0.5409780741172608,6,0.69,5.0,63.0
10,34,0.16445747622704254,0.47189158924999997,1.4233924138499998,75.0,0.4110849730964154,2,0.58,5.0,63.0
6,11,0.0894213032769702,0.47189158924999997,1.4233924138499998,49.0,0.15512018867751576,7,0.46,5.0,63.0
10,23,0.1478199471832996,0.47189158924999997,1.4233924138499998,67.0,0.3037652883782188,6,0.62,5.0,63.0
6,38,0.07641130123246281,0.47189158924999997,1.4233924138499998,106.0,0.13870050446486612,6,0.73,5.0,63.0
6,43,0.10486263669063277,0.38767651670000003,1.4676325276,78.0,0.15496732943569036,3,0.45,6.0,92.0
9,37,0.06460340623597789,0.5631147929,1.4359427219,116.0,0.2727630298192321,2,0.86,5.0,48.0
3,29,0.057974605352756586,0.5350161299,1.3516196966,85.0,0.16261597012388548,14,0.63,5.0,63.0
8,58,0.1951917747394951,0.7316382231999999,1.6602559681,136.0,0.5252762162574076,17,0.66,5.0,63.0
8,20,0.16630295689266272,0.6494630677000001,1.2989261354000001,133.0,0.6224918419552071,8,0.91,5.0,63.0
5,49,0.17373641760940925,0.19767219530000002,1.0165998615,149.0,0.8103742700589395,15,0.64,5.0,23.0
1,28,0.04134235287460854,0.36897719240000004,0.7095715238,178.0,0.3732650754451357,18,0.83,4.0,17.0
9,70,0.17150664037545096,0.38951679,0.8903240912999999,132.0,0.5690173809054944,5,0.86,5.0,63.0
4,8,0.09728198935706524,0.1980627763,1.0469032461,91.0,0.1948267218063321,5,0.78,1.0,43.0
6,59,0.1287603479957926,0.5903165319,1.2087433749,138.0,0.26079121757017104,10,0.9,5.0,63.0
7,10,0.06722998669784387,0.47189158924999997,1.4233924138499998,92.0,0.14979319299607602,4,0.6,5.0,63.0
7,20,0.04749632532300077,0.47189158924999997,1.4233924138499998,114.0,0.1803934398902224,7,0.78,5.0,63.0
8,63,0.11950708999666268,0.47189158924999997,1.4233924138499998,322.0,0.2372924765654477,18,0.94,5.0,63.0
16,16,0.20542325754561647,0.47189158924999997,1.4233924138499998,186.0,0.6584522142446403,14,0.37,5.0,63.0
23,24,0.20709403802414306,0.47189158924999997,1.4233924138499998,176.0,0.7408248587435111,13,0.88,5.0,63.0
6,7,0.10991228045551353,0.47189158924999997,1.4233924138499998,122.0,0.16291575849148807,5,0.75,5.0,63.0
5,21,0.06888320100388601,0.47189158924999997,1.4233924138499998,212.0,0.17250845412618251,6,0.87,5.0,63.0
26,14,0.13153924433596492,0.47189158924999997,1.4233924138499998,144.0,0.7005947710043999,0,0.75,5.0,63.0
9,14,0.10234627012879907,0.5908209051,1.2660447967,97.0,0.2975415808406056,4,0.47,9.0,46.0
10,13,0.046780274641742635,0.5355034413,1.3528507991,106.0,0.3284858858400802,7,0.65,5.0,132.0
6,22,0.14515405656412614,0.3376739918,0.7597664815999999,151.0,0.20924367712734315,2,0.84,1.0,28.0
6,34,0.09432232214330236,0.6492329736,1.4678310707,199.0,0.2326206852301237,4,0.91,5.0,63.0
7,37,0.15753030802141224,0.9391325432,2.1913092674000003,192.0,0.4714214656907729,8,0.62,5.0,208.0
6,3,0.049775412805155926,0.2023087123,0.8959385832,51.0,0.1216804294742156,0,0.23,5.0,63.0
4,28,0.05918388930403627,0.47630954020000005,1.4569468288999998,162.0,0.3892669384293739,4,0.85,1.0,69.0
8,28,0.06413554914962062,0.8605548587999999,2.2661277949,154.0,0.33817226665888817,4,0.85,6.0,88.0
7,36,0.09514740309656107,0.5328217796,1.7106383449,201.0,0.2062489983172048,11,0.89,28.0,164.0
7,27,0.1618841426782609,0.3650470381,1.20746328,139.0,0.2944841922059863,21,0.81,0.0,36.0
