Signature.1,Signature.10,Signature.11,Signature.12,Signature.13,Signature.14,Signature.15,Signature.16,Signature.17,Signature.18,Signature.19,Signature.2,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.26,Signature.27,Signature.28,Signature.29,Signature.3,Signature.30,Signature.4,Signature.5,Signature.6,Signature.7,Signature.8,Signature.9,Virus_HPV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306017593673729,0.0,0.0,0.0,0.0,0.305960854507784,0.388021529541556,0.0,0.0,0.0,0.0,0.0,19.637
0.15512049353028198,0.0,0.0,0.0869404764958398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171372027725459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502350376794111,0.0,0.362640228544906,0.0630085584091282,0.11068317761497401,0.0,0.0,14.786
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17801052542878099,0.0,0.0,0.0,0.0763197241350367,0.0,0.18423254448773702,0.157443321540538,0.0,0.0,0.0,0.0962843685860491,0.0,0.20319903913519502,0.0,0.104510476686664,0.0,0.0,0.0,0.0,0.0,24.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22255906527963298,0.0,0.0,0.0,0.0,0.0,0.30056185379728695,0.0,0.0,0.0,0.0,0.0,0.23160317673244604,0.129802561018585,0.0,0.010649324634722,0.104824018537328,0.0,0.0,0.0,19.968
0.0,0.0,0.0,0.0,0.0,0.0,0.6512426461268249,0.0,0.0,0.23891451981832001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10984283405485401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.445
0.149137456558189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10418306119136501,0.435082777251371,0.311596704999074,0.0,0.0,0.0,0.0,0.0,0.0,9.234
0.0,0.0,0.0,0.0,0.0,0.0,0.100691356185218,0.0,0.0,0.0,0.0,0.0,0.0215245586291526,0.0,0.0,0.0,0.14527941140081302,0.0,0.0,0.0,0.0,0.0512071580497297,0.0,0.0587503952521688,0.0,0.0,0.40683276963170395,0.0,0.0,0.21571435085121402,1.604
0.7262853519746899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044013934018362,0.0623121205646177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16738859344232998,0.0,0.0,0.0,0.0,0.0,2.449
0.0,0.0,0.0,0.363366352128762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734998019238198,0.0,0.0,0.0,0.563133845947418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9270000000000005
0.0,0.0,0.0,0.103950871291591,0.0,0.0,0.0,0.0,0.0,0.116625513309321,0.278559896423761,0.0,0.0,0.0,0.0,0.164991183347609,0.335872535627719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.23
0.446507530038516,0.0,0.0,0.0,0.0,0.168687854798839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0509534583852695,0.14967986142328601,0.0,0.0,0.0,0.13932260059786902,0.0,0.0,0.0,0.0,0.0448486783103684,0.0,0.0,16.617
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191327269164504,0.0,0.0,0.0,0.0,0.0,0.19157563797180802,0.0487754535729078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41834412845045904,0.0,0.149977510840321,0.0,0.0,0.0,14.274000000000001
