ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1,Virus_HPV
79.5455,0.0,5.3662,270.5177,512.6263,629.7348,132.5758,15.7828,4023.9899,21.0859,31.5657,8.5227,143.9394,34.7222,32.8283,6.3131,389.5202,127.5253,54.6086,196.65400000000002,1359.214,17.0455,419.1919,13907.822,26626.1269,22466.9918,7225.6944,3800.1894,1992.7399,169.8232,3001.2626,101.6414,12596.2753,6208.911,3010.4167,4459.9116,1531.25,185.9217,0.6313,8.8384,0.0,0.0,0.3157,6.3131,1.2626,0.6313,0.3157,41.9823,14.5202,0.0,0.0,1292.0107,0.0,0.0,8.2071,410.6692,145.202,70.3914,8.8384,23.3586,55.5556,48.2955,1241.1616,9.4697,276.1995,367.6673,6.6288,25.2525,19.2551,260.7323,29.6717,12.9419,1447.2854,1315.3409,439.3939,25.596999999999998
102.3092,0.0,22.771,575.0481,568.6337,383.8999,1375.5613,34.9583,4110.9686,152.9859,107.1199,65.7473,269.0827,10.5837,30.789,40.0898,541.052,804.3618,3041.052,121.5523,1082.4246,161.6421,404.7466,16584.9038,20875.1283,22971.5683,9161.3214,5833.2264,4484.9262,566.3887,1537.8448,560.9365,18104.8749,5924.1597,1035.5997,4298.2681,1025.6575,319.4355,50.3528,130.2117,0.0,0.0,5.4522,10.9044,5.1315,0.0,2.5657,41.052,90.7633,2.8865,0.0,2130.4618,0.6414,0.6414,46.8249,529.5061,169.3393,103.9128,26.9403,102.6299,104.8749,394.1629,1386.7864,160.6799,536.8826,477.9474,206.8634,46.8249,38.4862,268.4413,27.5818,6.7351,727.3894,2484.2848,276.4593,17.312
128.4203,0.3648,22.2547,531.9227,986.8661,550.1642,520.9777,18.9712,2714.7027,187.3258,50.7114,22.9843,225.1003,7.6614,45.6038,57.2784,399.1244,2520.2481,608.1722,74.7902,1113.4622,55.0894,403.8672,17466.618000000002,17393.9073,6685.9905,5344.8121,4516.1875,1839.4746,1113.4622,2288.5808,498.3583,18605.9832,5070.8026,1496.5086,6391.8278,3274.7173,393.2871,52.1707,121.4885,0.3648,0.0,1.0945,11.3097,8.0263,2.5538,10.9449,195.9139,77.7089,0.0,0.0,4229.4345,0.0,0.3648,81.722,124.0423,225.4652,133.1631,23.3491,63.4805,150.6749,419.1901,709.9599,82.8165,308.2816,611.1675,167.822,75.5199,31.7402,77.7089,10.2152,107.625,675.6658,1117.4754,5620.9413,11.754000000000001
208.5062,0.0,51.8672,675.8299,1645.7469,758.2988,1176.3485,28.0083,2247.9253,374.3205,85.0622,57.5726,320.5394,11.4108,60.6846,95.4357,4244.2946,1317.4274,1570.5394,188.278,1128.112,130.1867,407.1577,33534.5851,39482.8994,28634.8392,5197.6141,3303.9419,3367.7386,62.7593,3674.2739,110.9959,12855.2905,6809.9948,3417.0124,16849.5851,1681.0166,287.8631,99.0664,1229.2531,0.0,0.0,5.7054,9.8548,61.2033,0.5187,4.1494,126.0373,84.5436,4.668,0.0,1167.0124,0.0,1.0373,132.2614,297.1992,116.1826,114.1079,52.3859,57.0539,175.8299,328.8382,837.6556,177.9046,158.7137,722.4326,42.0124,95.4357,9.8548,104.7718,20.7469,168.5685,2878.6307,824.6888,3690.3527,7.561
368.6811,0.3857,116.8531,2298.496,4270.7289,1551.8704,5877.7478,148.8623,2348.6309,946.0663,234.4774,120.7096,769.7648,33.5519,86.7721,240.2622,19700.7327,10083.6868,17730.8022,102.5839,2051.2881,822.2137,1172.3872,61456.6101,109228.3185,44660.2275,26458.9279,13159.275,16065.1755,2762.4373,15915.1562,1740.8407,86736.5985,18605.4377,2474.3039,6356.344,4141.9206,354.8014,220.2083,3115.3105,0.0,0.0,87.5434,20.4396,57.4624,2.3139,4.2422,127.6514,258.388,4.2422,0.0,5876.5908,2.6533,12.0015,733.5133,212.8808,184.3425,346.7027,242.1905,872.3486,283.0698,2541.8434,1256.4597,681.4501,504.435,1155.7887,119.9383,107.5974,141.9206,146.5484,26.6101,38.1797,927.1115,1091.3999,3339.7609,20.730999999999998
1861.1392,0.0,0.7244,209.0012,38.7576,119.1705,84.7596,10.8666,2717.0153,16.480999999999998,21.7332,2.5355,100.6973,0.3622,8.6933,4.3466,651.2723,136.1949,126.7771,129.6749,1116.7255,9.0555,174.9525,3066.5435,5735.0358,4235.8055,949.4159,529.8922,255.7276,50.3486,341.2116,6.8822,1789.0066,441.5938,90.5551,9556.4611,191.2524,435.0267,1.4489,5.4333,0.0,0.0,0.3622,1.8111,1.0867,0.7244,3.26,13.0399,1.0867,0.0,0.0,240.1521,0.0,0.0,7.6066,296.2963,321.6517,13.0399,1.4489,14.4888,43.4664,69.5463,1074.3457,1.8111,157.2037,272.7339,170.968,21.7332,0.3622,228.1989,7.6066,10.1422,3705.877,2001.2678,63.0264,15.982000000000001
194.0363,0.0,49.0307,334.1737,525.0804,407.1981,2615.3177,44.1624,4015.3004,225.3708,93.8886,58.0718,304.6162,68.8516,55.9854,155.7854,2742.5889,1626.0106,5468.4865,37.5554,1185.4299,220.4642,482.309,17135.9367,21903.3122,11460.1582,6527.3789,4640.4903,1571.4162,813.3530000000001,1478.2231,237.851,19516.6478,5199.4819,1071.0910000000001,9655.9158,1110.319,754.238,114.4049,498.3048,0.0,0.0,31.6439,14.2572,1.3909,1.7387,1.0432,34.7735,129.7053,0.3477,0.0,3155.0029999999997,2.4689,1.0084,381.4657,318.8733,135.9645,239.2419,86.5861,266.71299999999997,32.6871,648.5265,439.1898,237.1555,244.1102,372.3272,44.5101,44.8579,57.7241,132.8349,20.8641,47.6397,2030.4268,1420.1513,4369.295,11.792
69.0999,0.0,1.5586,670.2169,1079.1012,248.8635,181.3222,2.5977,2510.9755,36.0358,17.1451,2.5977,113.2615,115.8592,6.7541,75.3345,503.9616,187.0373,158.4621,130.4065,1144.5642,22.8601,128.8479,11582.2834,10038.8414,6738.4024,2051.695,1042.2133,621.3794,61.8262,1038.0569,13.5082,4071.6976,2378.4284,1041.6937,18940.1221,256.1372,601.6366,3.1173,10.9105,0.0,0.0,0.0,5.715,9.8714,0.0,0.5195,15.5864,13.5082,0.5195,0.0,614.6253,0.0,0.5195,20.7819,360.5663,70.139,24.9383,5.1955,21.3015,3.1173,117.9374,779.8415,9.8714,83.1277,525.6891,187.5568,123.6524,0.0,90.9209,85.2059,15.5864,1573.1913,3032.6016,6779.5818,10.784
57.8144,1.621,0.0,321.4913,647.3051,508.9828,333.3784,7.0242,4449.0072,61.8884,22.6935,11.3468,135.0804,11.8871,21.6129,13.508,5120.6268,143.1852,289.072,111.8465,1691.2063,60.516000000000005,239.3624,7146.2812,16361.286,12024.5036,3052.8164,2566.5271,1017.4254,188.5722,795.3532,98.3385,5957.5848,2476.7527,376.0638,4583.5472,1368.6343,99.4192,12.9677,41.6048,0.0,0.0,1.0806,4.3226,61.0563,0.0,0.5403,13.508,14.5887,0.0,0.0,1053.6269,0.0,0.5403,15.6693,760.2323,53.4918,17.2903,11.8871,43.2257,47.5483,132.3788,1351.8844,19.9919,187.4916,684.301,329.5961,43.766000000000005,17.8306,105.90299999999999,64.2983,3.7823,1490.747,1985.1412,3098.7438,12.152999999999999
83.3055,1.3382,21.7464,472.7334,800.6022,554.7006,1371.6962,15.7243,1378.3874,136.6477,119.7725,20.0736,251.5892,7.0258,81.6327,59.5517,552.0241,1437.27,1869.8561,245.5671,1325.5269,175.644,580.4617,21352.623,22470.4383,10184.2958,10695.8849,4042.8237,720.9769,1232.5192,1699.5651,157.5778,22927.0659,2274.1619,1199.2774,7492.4724,1142.188,279.6922,65.2392,144.5299,0.3346,0.0,1.3382,22.4155,3.6802,3.3456,1.6728,273.6701,28.7722,2.6765,0.3346,1662.4657,1.6728,0.3346,162.2616,318.8357,579.7926,73.6032,25.7611,83.3055,142.5226,344.5969,886.5841,140.8498,466.3767,1832.4557,500.8364,30.445,19.0699,135.8314,41.82,13.717,1846.1024,1708.2636,4651.723,10.657
