SampleID,H1.Status,Cohort,ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1
TCGA.Q1.A6DV.01A.11R.A32P.07,H1.Negative,CESC,60.1702,1.5043,5.2649,431.3449,952.569,590.7958,336.9529,12.7862,1415.5032,69.3687,13.9144,5.2649,136.5111,19.1792,10.9058,29.709,4241.6208,282.4237,18.8032,47.0079,660.7437,85.3664,95.1441,21728.9522,37005.3533,13120.1579,1237.6252,1308.7012,667.5128,706.9995,1261.3172,2342.8759,9368.1192,2197.219,515.5831,11017.91,1052.978,427.5843,18.0511,1928.0778,0,0,1.8803,15.4186,54.9053,1.1282,9.7777,131.2462,11.2819,0.3761,0,969.74,0,6.017,86.8707,197.8094,426.08,4.8888,14.2904,211.3477,45.8798,93.6398,1346.6836,37.6064,276.4067,1718.8323,933.0137,9.4016,8.6495,7.1452,123.3488,161.3313,1242.89,1051.8498,66.9393
TCGA.Q1.A6DW.01A.11R.A32P.07,H1.Negative,CESC,47.8395,1.1574,5.787,561.7284,988.8117,867.284,562.1142,23.1481,1044.7531,53.2562,14.6605,8.1019,569.4444,7.716,30.4784,38.1944,629.6296,230.7099,208.7191,179.3981,1206.4043,511.9599,189.8148,27677.4228,43855.9066,17217.01,3518.1327,1926.3117,228.7809,579.4753,654.7068,408.5648,12173.2253,1906.5201,833.2485,7394.6759,993.4414,212.5772,24.6914,858.7963,0,0,1.5432,6.1728,12.7315,0,111.1111,38.966,60.9568,0,0,437.1142,0.3858,0,42.8241,326.3889,147.3765,17.3611,19.2901,503.0864,22.7623,271.6049,695.216,49.7685,96.4506,718.561,154.321,7.716,15.4321,35.108,37.4228,56.3272,8660.8796,374.2284,1.5432
TCGA.Q1.A73O.01A.11R.A32P.07,H1.Positive,CESC,78.3027,0,11.6148,1409.142,2310.2286,1016.1109,1809.2919,448.1079,4668.4151,128.5613,39.7152,22.855,951.6673,14.9869,26.9764,80.9292,1778.9434,4820.9067,4913.8254,17.6096,820.1574,469.0895,251.7797,9083.9116,15362.1244,53544.9569,4906.332,2792.8063,1662.7951,325.2154,2641.8134,95.9161,24017.9843,5732.9412,1561.2177,7181.3413,3787.9356,131.5099,58.8235,4275.7587,0,0,62.9449,23.979,5.9948,0.7493,373.5481,343.949,50.9554,0,0,911.5774,3.0611,2.1843,337.9543,454.852,701.761,131.1353,93.2934,715.6238,2.9974,426.3769,3124.0165,173.8479,79.0558,1315.2716,638.816,37.0925,25.4777,25.103,270.1386,170.8505,14014.9869,721.6186,28.1004
TCGA.Q1.A73P.01A.11R.A32P.07,H1.Negative,CESC,63.9903,0.8049,12.8786,986.8196,1090.653,897.4746,1305.5639,22.9399,1354.261,143.7046,27.7694,14.0859,133.6151,8.0491,16.5007,105.0407,1408.19,1316.4302,3040.1449,30.5866,771.1037,125.9684,268.4375,39501.3221,63912.5546,43293.4018,15381.8855,9038.6799,1198.1085,308.683,1544.2197,320.3542,39830.5665,18083.0587,1697.1526,8853.2045,1023.8455,61.5756,33.8062,5367.9445,0,0,9.2565,3.6221,69.6247,0.8049,2.4147,12.4761,52.7216,0.4025,0,1036.064,0.6077,0.5997,148.9083,305.0609,323.9763,32.1964,82.9057,184.3244,90.9548,254.754,317.9394,140.0543,90.1499,2289.4376,167.4213,31.3915,14.8908,34.2087,53.1241,25.3547,2137.8408,1348.6266,688.198
TCGA.Q1.A73Q.01A.21R.A32P.07,H1.Positive,CESC,64.1361,41.4485,19.6335,561.5183,842.9319,856.4572,177.5742,90.3141,1421.466,95.5279,33.1588,17.0157,354.712,3.0541,10.0349,41.4485,2065.0087,171.466,68.9354,39.267,650.5236,37.9581,75.4799,22330.2661,30200.4145,9758.5733,789.7033,799.3019,607.7661,355.5846,609.5113,431.0646,3144.8517,675.5759,182.3735,6114.7469,260.0349,349.0401,36.6492,90.3141,0,0,0.4363,21.3787,21.3787,0.4363,69.3717,413.1763,13.089,0.8726,0,527.0506,0,0.4363,26.178,226.0035,125.2182,41.4485,12.2164,41.4485,20.9424,262.2164,651.3962,30.541,72.4258,570.1178,668.8482,24.4328,8.726,37.5218,27.4869,114.7469,7490.8377,472.5131,41.8848
TCGA.Q1.A73R.01A.11R.A33Z.07,H1.Negative,CESC,119.3402,2.1633,3.245,1057.5987,728.5019,185.5057,267.7123,26.7712,4101.4062,24.4781,6.49,3.245,53.8129,3.5154,10.2758,35.1541,4256.3548,1458.8967,943.2125,121.6874,823.6858,169.5511,96.5387,86551.5982,101014.8269,62749.7052,1709.8432,1385.6138,512.4392,34.3429,1155.4895,48.9454,5955.3813,3484.2131,1157.9232,4178.4749,1407.788,123.5803,16.225,358.5722,1.0817,0,3.245,2.4337,3.245,0.5408,8.6533,83.0178,27.3121,0,0,240.6706,0.3732,1.2493,124.1211,547.0525,296.106,23.5262,37.5879,170.0919,16.4954,54.3537,4131.9632,52.1904,154.6782,540.3056,419.1455,27.8529,11.6279,40.8329,1.6225,8.1125,2737.1552,1355.0568,26.7712
TCGA.Q1.A73S.01A.11R.A33Z.07,H1.Positive,CESC,131.1108,1.6809,0,156.3244,290.2367,539.0111,73.3996,4.4824,3438.5768,7.6313,9.5251,0.5603,99.7339,7.2839,6.7236,5.0427,132.2314,25.7739,48.186,18.49,563.6644,6.1633,111.5002,2561.143,4693.7722,3548.8388,770.9763,948.0319,391.6515,94.6911,261.6613,27.4548,2654.7135,913.1195,268.9452,11379.1848,184.8998,219.6386,3.9221,10.6457,0,0,0.5603,4.4824,16.2488,0,6.7236,24.093,25.7739,0,0,484.6617,0,0,11.7664,56.0303,11.2061,9.5251,6.7236,13.4473,5.603,32.4975,316.0106,3.9221,62.1936,171.9344,433.1139,13.4473,0,34.1785,18.49,3.9221,1518.9802,5047.7658,567.5865
TCGA.R2.A69V.01A.11R.A32P.07,H1.Positive,CESC,220.8041,1.9145,75.3031,835.3542,690.4914,3300.5743,12255.903,121.2508,2038.2897,775.0798,120.6126,28.7173,1540.5233,120.6126,114.8692,490.1085,3395.6605,8183.1525,16590.2999,54.2438,1546.2668,1656.0306,1951.4997,61375.2329,104102.8973,54417.2049,19088.0664,15055.5201,5369.4959,5267.3899,8657.9451,1123.1653,67035.0989,21323.0377,6137.6835,7765.7945,4684.7479,275.686,241.2253,6172.3038,0,0,171.0274,35.0989,11.4869,6.3816,31.9081,86.1519,387.3644,0,0,12726.2285,0,105.9349,1218.2514,410.9764,283.344,397.575,376.5156,1600.5105,183.7907,2367.5814,2835.3542,458.2004,499.6809,3140.7722,582.0038,193.3631,42.7569,109.7639,202.9355,54.2438,1731.3338,1887.6835,45.9477
TCGA.RA.A741.01A.11R.A33Z.07,H1.Positive,CESC,561.0859,0.5715,21.1459,1363.0519,1347.0496,2527.2182,2789.5414,22.2889,2215.1736,232.7418,33.1476,16.0023,2482.0689,41.7202,19.4313,84.5835,4504.6435,1560.7944,1071.5817,32.5761,870.4101,598.3712,389.77,64474.2506,112909.0727,42677.7254,16162.9204,14826.6495,2652.3789,2904.4149,5915.7022,934.4192,52574.3678,21662.3403,6972.9276,6862.6947,2111.7302,306.3295,70.8673,977.2825,1.143,0,42.8633,18.2883,29.7185,1.143,13.1447,90.2986,53.722,1.143,0,1896.8424,1.4345,1.4231,381.1973,562.3661,204.6007,70.8673,111.4445,397.1996,112.5875,728.6755,1671.6674,125.7322,130.3043,2704.4149,545.7923,97.1567,9.1442,28.5755,196.028,72.0103,962.4232,1027.5754,1348.1926
TCGA.UC.A7PD.01A.11R.A352.07,H1.Positive,CESC,51.8183,0,3.4308,602.11,1209.795,928.4673,249.1637,136.3753,3364.7826,78.2529,12.4367,2.1443,198.5591,144.0947,9.8636,38.1679,1449.9528,609.8293,370.5292,9.8636,623.1238,106.7845,62.6126,53143.0483,72487.1172,37632.5328,2063.213,1247.9629,130.3714,30.8774,797.667,73.3339,7027.1893,4914.5939,1777.1679,5946.908,3136.2038,155.2449,30.4486,367.5272,1.2866,0.4289,3.002,4.7174,4.2885,0.8577,1228.6646,1240.6724,26.16,0,0.4289,570.2204,0,1.2866,116.2192,358.9502,254.31,103.3536,20.585,135.5176,30.0197,181.4049,4190.7539,29.5909,21.8715,633.0346,95.2054,53.1778,5.5751,9.0059,423.2782,150.5275,3144.7809,896.3033,6.0039
