SampleID,H1.Status,Cohort,ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1
TCGA.2G.AAEW.01A.11R.A430.07,H1.Positive,TGCT,202.2912,0.6196,60.0997,535.6308,838.6075,1008.0639,2300.8268,134.4498,2109.3752,200.4263,206.9412,128.5638,753.4147,7.1252,171.9347,102.2314,144.9828,3530.0824,7410.5398,149.0101,1466.2125,291.8243,470.2646,19849.0073,30136.0948,16804.2423,9275.7987,5299.9253,1458.8116,2514.8933,2289.0547,314.7489,34341.0874,4059.0154,2021.5677,2600.7057,1727.4014,241.6379,107.1881,887.8645,0,0,24.4736,28.1911,2.4783,0.3098,3.7175,125.7756,116.4819,0.9294,0.3098,7836.8138,0.6196,0,547.4029,156.4451,418.5293,286.248,100.3727,297.4005,43.6807,3340.7993,1957.8868,113.0742,331.7875,936.5329,78.3774,263.0136,51.7353,16.419,33.7674,99.1335,241.3281,369.5821,0.6196
TCGA.2G.AAEX.01A.11R.A430.07,H1.Positive,TGCT,850.9046,0.489,109.5355,711.9804,833.7408,847.4328,1895.8435,23.4719,2363.3252,894.9633,182.3961,41.0758,218.0929,34.7188,39.6088,124.6944,412.7139,703.1785,2852.8117,76.7726,1215.6479,523.7164,344.2543,15590.22,26982.0929,20584.1663,4113.9364,3468.9487,2384.8411,177.5061,3221.5159,78.7286,11463.0807,7262.0929,3248.8998,4357.4572,569.6822,1361.8582,177.5061,315.8924,0,0,43.0318,31.2958,22.0049,3.423,4.401,24.4499,40.5868,0,0.489,2622.9829,22.1271,36.5526,922.2494,126.6504,455.2567,84.5966,286.5526,1220.0489,98.2885,1643.0318,1032.2738,368.2152,211.7359,560.5575,109.5355,176.5281,75.7946,47.9218,61.6137,30.8068,353.0562,371.1491,4.89
TCGA.2G.AAF1.01A.11R.A430.07,H1.Positive,TGCT,248.7542,0.3986,110.0259,843.532,739.0871,1260.5143,2148.6944,100.4584,2338.4493,526.3783,317.7198,124.3771,521.8258,15.5471,128.7622,159.8565,237.5922,2432.5294,8202.1128,120.3907,1246.5378,307.355,357.9829,22104.7957,28348.8459,17755.2003,6439.705,4499.5017,2326.4899,1067.5703,1647.9968,186.5657,18198.9237,4916.3644,1767.9171,2401.4351,1591.3893,261.5109,198.1264,934.0243,0,0,31.0943,24.716,4.7837,0,1.1959,87.3032,208.8898,0.3986,0.3986,5878.4134,2.1567,5.0189,1548.7343,298.5848,479.1708,139.9243,178.5928,842.7347,50.2292,2752.2424,1839.3462,299.3821,515.0488,926.4222,103.249,201.7142,39.0672,31.4929,30.297,90.4923,213.6735,420.5701,3.1892
TCGA.2G.AAF4.01A.11R.A430.07,H1.Positive,TGCT,333.8009,0.5028,113.6249,579.6883,468.0744,676.722,3559.0749,35.1936,3908.4967,540.0804,183.0065,35.6963,296.6315,29.1604,40.724,83.9618,134.2383,1023.63,4019.6078,146.3047,1142.2826,549.0196,300.6536,15891.3977,25586.7421,15173.4389,6040.2212,3136.7521,1696.3298,923.5797,1006.5359,192.0563,13737.5566,4342.3831,885.1031,4089.995,693.3132,262.4434,71.8954,221.7195,0,0,71.3927,48.2655,8.0442,0.5028,1.0055,27.6521,69.8844,1.0055,0.5028,2736.0483,11.7144,38.0593,1124.183,156.8627,254.902,100.553,287.0789,1376.0684,27.1493,1222.725,870.7893,343.8914,346.4052,589.7084,47.2599,68.8788,47.7627,42.735,60.8346,58.3208,195.5757,289.5928,11.5636
TCGA.2G.AAF6.01A.11R.A430.07,H1.Positive,TGCT,320.3184,0.6368,47.4447,353.7653,546.0914,699.8886,2341.3469,71.0078,2601.1782,451.4886,180.2261,37.5736,466.1678,51.5841,49.0368,106.6709,65.5947,680.1465,5793.0266,78.3315,930.1035,572.8387,451.202,22245.5023,26428.8234,9558.1213,8872.2719,7805.3272,8523.8019,160.1656,5736.6661,638.4334,25439.2613,9494.6824,1779.9713,3765.0056,1377.4877,754.9753,61.7736,178.634,0,0,46.171,25.1552,20.3789,0.3184,0.9553,37.8921,90.7499,0,0.3184,7701.3214,2.2544,4.4324,623.1492,112.4025,151.5682,191.0524,152.2051,689.3807,34.7078,2198.0576,1252.0299,258.2391,322.8785,753.3705,69.7341,180.2261,56.3605,26.7473,109.2183,49.0368,286.897,539.723,3.5026
TCGA.2G.AAF8.01A.11R.A430.07,H1.Positive,TGCT,656.3922,5.9782,81.9011,496.7867,728.7401,990.5844,2159.3185,18.5324,2223.8828,814.1922,136.9003,41.2494,269.0181,43.6407,48.4233,103.4225,182.3345,469.8849,2397.25,171.5738,1325.9543,350.9191,270.2137,17271.5469,20975.1846,13708.4203,4229.5621,2657.3009,2400.2391,249.8879,833.9561,53.2058,9983.56,4800.1734,671.3496,4612.1656,970.2586,447.1678,105.8138,139.2916,0,0,49.6189,20.3258,10.7607,0,1.7935,32.2822,47.2276,0,0,2820.5052,17.1813,9.7205,888.9553,190.1061,497.9824,54.4014,233.7468,839.3364,38.2603,1630.8474,820.2062,238.5294,201.4647,690.2287,92.6618,75.9229,17.3367,82.4989,123.7483,43.6407,448.9613,487.8195,2.9891
TCGA.2G.AAFE.01A.11R.A430.07,H1.Positive,TGCT,168.008,1.604,53.7343,427.0677,717.3935,645.614,1257.9449,59.7494,2661.0526,288.8622,138.3459,83.0075,848.5213,55.7393,49.3233,91.4286,96.2406,482.807,3457.0426,39.6992,1032.5774,203.3083,322.005,17182.5203,19607.4506,12429.4416,6108.9003,5715.4607,9300.4511,347.2682,9798.0952,521.7043,21896.7419,9034.7068,1371.0276,4311.1779,1086.3158,605.1128,69.3734,222.9574,0,0,24.0602,12.0301,2.005,2.807,32.0802,83.4085,119.0977,1.604,0.401,5760.401,1.9328,1.6762,200.5013,165.213,328.8221,109.0727,109.8747,177.6441,34.0852,2470.5764,1665.7644,128.7218,156.391,1150.7689,113.8847,254.6366,26.0652,36.4912,144.3609,89.4236,254.2356,432.2807,16.0401
TCGA.2G.AAFG.05A.11R.A430.07,H1.Positive,TGCT,703.3391,0.9569,170.8144,1006.7046,1385.1757,1239.2419,4317.7292,82.2971,2041.639,980.5944,308.1358,141.1492,911.0102,40.6701,68.8999,206.2213,394.2607,1496.6597,11433.0827,114.8332,1095.7003,942.1109,677.9945,38719.8392,39157.8131,28076.5603,11941.6982,9443.1187,9766.0871,1023.4511,3116.7651,288.04,38560.5177,15702.0365,1961.2557,4730.1718,1960.7773,779.4305,144.9769,720.5785,0,0,89.9527,47.3687,11.0049,0.9569,3.8278,136.8429,135.4075,1.4354,0.4785,9774.5704,3.8278,4.7847,738.7604,174.1637,332.5379,211.006,275.1213,1114.8392,78.4694,3582.7965,2034.4619,434.4524,307.6573,1596.5119,107.1777,375.1219,86.1249,65.0722,102.393,168.9005,472.7301,747.8514,4.3062
TCGA.2G.AAFG.01A.11R.A430.07,H1.Positive,TGCT,614.2322,1.1128,132.0475,722.5519,1021.1424,869.0653,2689.1691,111.6469,1805.2671,698.7945,249.6291,85.6825,719.5846,27.819,89.7626,151.3353,215.8754,1321.9585,11914.3175,93.1009,974.7774,740.727,663.5757,29881.3056,29043.8168,22812.6372,8866.6172,7405.2671,8986.6469,962.908,2358.6795,263.724,31771.1424,11419.3509,1449.9258,3925.816,1895.0297,856.8249,125.3709,464.0208,0,0,82.7151,38.5757,10.0148,0,1.8546,83.0861,152.4481,0,0,8864.6142,2.5556,5.6046,787.4629,156.5282,390.2077,199.184,220.6973,1111.6469,43.3976,3292.6558,1820.8457,363.5015,356.0831,1154.7626,82.3442,254.822,114.9852,37.092,99.0356,101.2611,474.4065,607.1958,8.9021
TCGA.2G.AAFH.01A.12R.A430.07,H1.Positive,TGCT,401.7764,1.0449,93.5214,807.7325,863.1139,961.3375,2698.5371,81.5047,2806.1651,1219.3574,201.6719,23.511,457.1578,39.7074,55.9039,194.3574,286.8339,940.9613,6847.9624,52.2466,1553.814,560.0836,468.652,21545.3396,36606.3898,19709.7022,9959.7701,4693.8349,6962.3824,169.8015,5772.2048,412.7482,23461.86,8075.8673,1196.4472,3979.1014,1373.5632,402.8213,99.791,167.1891,0,0,90.3866,48.5893,23.511,0,1.0449,55.9039,89.8642,0,0,5591.954,7.9781,20.2351,1009.9269,247.6489,502.0899,139.4984,224.6604,854.7544,52.7691,3111.2853,1160.9195,277.4295,409.0909,1091.5413,137.931,149.9478,45.977,42.3197,93.5214,106.0606,415.883,613.8976,3.1348
TCGA.2G.AAFI.01A.21R.A430.07,H1.Positive,TGCT,1055.2905,1.013,80.5349,134.7313,240.0851,621.9926,1023.654,67.3656,2849.1111,119.8551,70.4047,10.6367,245.1502,299.3466,39.5077,44.0663,297.3206,1174.087,1024.667,217.7987,765.3345,185.8887,252.2413,10275.0342,15069.0776,14752.6313,2058.9576,1516.4869,1082.9155,15.1953,1765.1826,4.0521,4812.3386,5531.0743,2766.0437,7097.7055,681.2541,3717.2669,51.6639,179.8106,0,0,18.7408,9.1172,5.0651,1.013,2.5325,50.6509,35.4556,0,0,1582.8395,0,0,293.775,121.5621,628.5772,51.1574,58.2485,349.491,4.5586,311.5028,1555.488,82.0544,237.046,216.188,42.0402,75.4698,43.0532,44.0663,524.7429,23.8059,1046.4468,494.3524,56.729
TCGA.2G.AAFJ.01A.11R.A430.07,H1.Negative,TGCT,98.0587,5.4754,2.4888,514.1862,604.2807,802.887,107.0184,4.4798,4447.4863,33.2354,39.323,3.4843,153.8079,0.4978,1.4933,8.4619,1015.4306,56.7446,197.113,463.4146,1142.8372,19.9104,55.2514,7920.2738,8203.8427,9659.2733,1453.997,1081.5928,540.5674,15.4306,465.4057,9.4574,2914.3853,1829.995,763.0662,5121.9512,319.0642,269.786,5.9731,17.9194,0,0,1.4933,6.9686,7.4664,0.9955,4.9776,14.435,12.444,0.4978,0,457.9393,0,1.4933,92.5834,362.8671,17.9194,5.9731,2.9866,69.1887,4.9776,35.8387,786.4609,12.9418,125.4355,381.7222,27.3768,157.2922,0.4978,62.22,8.9597,17.4216,1815.331,1024.3902,353.9074
TCGA.2G.AAFL.01A.21R.A430.07,H1.Positive,TGCT,679.2611,1.3434,47.691,314.3577,715.3652,1395.1301,1780.0168,18.8077,2204.534,495.7246,32.9135,12.7624,518.5558,182.7036,29.555,67.1704,669.6893,814.1058,1736.356,130.9824,828.8833,274.7271,363.3921,31302.7305,40003.0495,28109.7968,6682.136,6885.6222,3092.5273,47.0193,5137.1956,38.2872,16601.1755,14803.4929,6193.7867,5288.3291,1604.7019,1087.4895,39.6306,280.7725,0,0,11.419,14.1058,12.7624,100.084,139.7145,90.0084,51.0495,0,0,3638.623,2.0151,3.3585,404.3661,266.6667,502.4349,65.1553,94.0386,447.3552,220.9908,980.0168,1619.4794,94.0386,192.7792,832.6045,145.0882,167.2544,9.4039,90.0084,437.2796,30.2267,333.1654,1252.7288,19.4794
TCGA.2G.AAFM.01A.11R.A430.07,H1.Positive,TGCT,686.5948,0,433.9483,415.0554,893.8745,1327.8229,4183.0258,24.797,1956.0148,611.6428,85.0185,28.9299,656.5314,858.4502,80.2952,250.3321,516.0148,2219.9262,2127.8229,70.2583,1016.679,456.9742,825.3875,38238.2288,42813.91,23967.4923,8387.8967,8693.7269,1508.4871,935.203,1813.1365,162.952,15384.2066,7721.2812,1378.6863,6676.9004,1378.0074,985.9779,202.5092,1125.9041,0.5904,0,36.0148,29.5203,9.4465,2.3616,19.4834,70.2583,117.4908,0,0.5904,3809.2989,3.7077,5.1483,1275.8672,334.7601,690.1845,147.0111,168.2657,893.2841,87.3801,1207.9705,1784.2066,271.5867,261.5498,1096.9092,351.8819,457.5646,30.1107,66.7159,454.0221,52.5461,686.6421,1183.7638,3.5424
TCGA.2G.AAFN.01A.31R.A430.07,H1.Positive,TGCT,1148.0633,3.0864,329.4753,132.716,278.5494,547.0679,1121.142,6.9444,2483.7963,207.2685,47.8395,9.2593,199.8457,364.1975,11.5741,54.0123,1537.8086,469.1358,280.0926,40.1235,375.7716,255.4012,130.4012,15594.1204,18657.7083,24901.7052,2838.7346,2527.7778,847.9938,62.5,1799.3827,48.6111,4589.5062,4574.1975,2047.9938,5942.1296,422.0679,1038.5802,52.4691,303.2407,0,0,16.2037,7.716,6.9444,0,6.9444,25.463,32.4074,0.7716,0,1824.8457,7.7083,12.3534,345.679,100.3086,391.9753,30.8642,84.1049,408.179,11.5741,218.3642,916.6667,80.2469,81.7901,331.7747,226.8519,285.4938,7.716,14.6605,637.3457,20.0617,1008.4877,512.3457,10.0309
TCGA.2G.AAFO.01A.31R.A430.07,H1.Positive,TGCT,865.003,0,164.9609,399.1571,952.4383,1190.8489,1656.2312,10.2348,1911.4991,413.1487,78.8682,34.3167,479.8314,142.0831,33.7146,113.1848,736.9055,647.2005,546.0566,122.2155,801.3245,328.1156,444.3107,31632.6671,38284.8886,24966.767,6217.9711,5024.6538,3094.5214,34.9187,6344.3709,45.1535,15667.6701,12176.8934,5997.5918,6925.9482,1474.413,1089.705,51.174,420.8308,0.602,0,17.4594,29.5003,7.8266,1.8061,148.7056,120.4094,51.776,0,0,2114.991,0,9.0307,648.4046,407.5858,385.9121,72.8477,121.6135,388.3203,134.2565,742.3239,1588.1999,148.7056,229.3799,846.779,187.8387,205.9001,9.0307,67.4293,479.2294,40.3371,435.28,1224.5635,9.6328
TCGA.2G.AAFV.01A.11R.A430.07,H1.Negative,TGCT,154.2202,2.5707,17.138,247.2151,407.8835,559.126,342.7592,5.9983,3271.2082,163.2177,57.8406,19.7087,218.509,2.5707,26.9923,61.6967,866.7524,217.6521,1362.4679,200.0857,662.8106,59.126,180.8055,13026.9494,17915.6855,12041.898,4181.2811,3107.0651,332.9049,675.6641,992.7164,301.1997,8580.5484,1481.2639,925,6143.5304,711.6538,154.2416,33.419,83.5476,0,0,2.9991,11.5681,2.1422,0.4284,34.2759,23.9931,61.2682,0,0,1661.0968,0,0,255.3556,123.3933,36.4182,59.126,26.5638,82.6907,71.1225,327.7635,1646.1011,57.8406,185.09,442.8663,40.2742,64.6958,7.7121,220.2228,3.4276,21.8509,3340.617,813.1962,39.8458
TCGA.2G.AAFY.01A.11R.A430.07,H1.Positive,TGCT,857.3996,1.6311,197.907,628.5179,949.845,1276.0653,2515.1591,46.2146,2299.8536,538.1494,123.9637,27.185,770.9675,162.0228,73.3996,211.4995,407.7755,1997.0124,4606.2316,129.4007,1083.0516,435.5042,716.0537,33338.0581,36723.1925,27565.0558,6823.4427,4594.2702,4654.0773,127.2259,2300.3973,9.7866,21707.2471,9751.4282,1394.5921,5523.4546,1686.0156,1471.7976,141.3622,624.1683,0,0,32.0783,27.7287,10.874,1.0874,7.6118,114.7208,206.6062,0,0,6704.3723,8.3621,15.017,772.0549,233.7913,835.6678,207.1499,227.8106,863.3966,88.0795,1556.6149,1656.1121,231.6165,389.2896,1024.9681,214.7617,295.7731,41.3212,131.0318,259.3452,61.4382,594.8085,915.0481,0
TCGA.2G.AAFZ.01A.11R.A430.07,H1.Negative,TGCT,193.0887,2.4631,16.7488,361.5764,481.7734,427.5862,185.7143,13.3005,3385.7143,80.2956,30.0493,5.9113,85.2217,26.1084,15.2709,8.3744,1238.4236,233.9901,143.3498,922.6601,679.3103,23.1527,94.5813,4268.4039,5852.8424,4277.2069,1348.7685,934.9754,118.7192,172.4138,119.7044,42.3645,3294.0887,376.1921,105.9113,6634.4828,379.3103,624.1379,12.8079,45.3202,0,0,0.9852,5.4187,7.8818,0,4.4335,25.1232,15.7635,0,0,691.6256,0,0,113.7931,125.1232,145.3202,17.734,22.6601,59.6059,7.8818,77.3399,1099.0148,47.7833,132.5123,376.5517,28.5714,53.6946,10.8374,52.2167,46.3054,6.4039,1593.1034,785.2217,269.4581
TCGA.2G.AAG0.01A.11R.A430.07,H1.Positive,TGCT,648.7369,0.5182,217.1266,325.4308,428.0347,743.6196,1430.7553,48.1928,2069.6981,122.9227,56.484,15.5461,369.9961,252.3643,75.1393,117.6318,398.4972,1391.8901,2078.5076,112.4498,867.4647,144.0601,463.2724,16190.6775,17205.1406,14911.4549,4413.0535,3175.4942,2516.9063,60.6296,1113.0976,9.3276,10406.5293,5407.5243,877.3157,5680.5286,774.7118,1878.4817,89.1307,922.3993,0,0,17.6189,30.5739,6.7366,0,10.364,65.2934,76.6939,0,0,3841.4302,3.6015,10.3899,526.4931,174.634,976.2923,100.5312,59.5932,572.613,57.0022,735.3284,1057.1318,123.332,334.2402,574.8724,94.3127,125.923,21.7645,44.5654,348.7498,38.3469,883.0159,559.658,4.6638
TCGA.2G.AAG3.01A.11R.A430.07,H1.Positive,TGCT,363.4985,0,15.6724,672.3964,831.1426,1146.6127,718.4024,22.2447,3383.2154,192.2497,104.6512,29.8281,372.093,17.6946,19.7169,50.5561,888.271,732.5581,2549.545,320.5258,1021.1072,206.7745,182.002,16083.3418,16533.6754,8514.3529,3707.2801,2381.6987,1259.3529,372.093,2222.4469,84.4287,9277.0475,4835.3084,2670.7634,4126.3903,1243.6805,517.6946,24.7725,151.1628,0,0,6.5723,15.1668,4.5501,0.5056,3.0334,77.8564,38.9282,0,0,2600.6067,0,1.0111,234.5804,442.366,266.4307,67.7452,70.7786,211.3246,15.6724,517.6946,1318.5035,71.2841,164.3074,700.8746,65.2174,197.1689,11.6279,29.3225,39.9393,40.9505,3792.2144,879.6764,116.7846
TCGA.2G.AAG5.01A.11R.A430.07,H1.Negative,TGCT,128.2936,0.4861,6.806,1964.5114,2090.9091,1833.2523,571.2202,9.2368,4617.404,107.2873,66.6018,31.1133,266.4074,42.7807,11.6675,29.6548,1875.0608,126.3977,116.6748,524.0642,3628.0943,55.4205,229.9465,24792.1974,23566.281,11918.8916,5154.1079,4388.4298,1805.0559,35.9747,1602.8196,280.5056,12693.2426,4969.7764,741.3709,4139.5236,1319.3972,360.7195,19.4458,39.3777,0,0,0.4861,7.2922,18.4735,0,7.2922,65.1434,73.4079,0,0,1825.9601,0.4861,0.4861,38.8916,715.6053,98.2013,28.6825,16.5289,78.2693,57.3651,86.5338,1909.5771,45.2115,288.2839,1129.2027,21.3904,133.2037,8.7506,139.5236,42.7807,15.0705,1457.9485,1650.948,158.4832
TCGA.2G.AAG6.01A.11R.A430.07,H1.Negative,TGCT,132.9601,1.3996,19.5941,818.0546,939.8181,953.1141,526.2421,4.8985,4400.9797,133.198,65.7803,27.9916,166.55,4.1987,9.0973,38.4885,2410.7768,177.7467,1049.6851,703.9888,2286.2001,41.9874,186.1442,12013.1631,11855.4724,7276.0882,5317.1169,4272.1064,412.8761,636.809,775.3674,142.0574,11048.2855,1572.9601,686.4941,4630.5108,689.2932,352.6942,35.6893,81.1756,0,0,1.3996,6.9979,7.6977,3.499,0.6998,47.5857,44.0868,0,0,1317.0049,0.9447,1.8544,46.1861,204.3387,73.478,48.2855,29.3912,86.774,185.4444,130.8607,1737.5787,68.5794,321.9034,360.6438,47.5857,74.8775,9.0973,34.9895,28.6914,15.3954,713.0861,1434.5696,97.9706
TCGA.2G.AAG7.01A.11R.A430.07,H1.Positive,TGCT,338.8452,0,87.0293,103.7657,174.8954,208.3682,246.8619,3.3473,2086.1925,38.0251,37.6569,5.0209,82.0084,193.3054,7.5314,8.3682,490.3766,305.4393,298.7448,125.523,440.1674,68.6192,116.318,7929.7071,5161.59,7314.5607,1713.8075,1425.9414,443.5146,101.2552,767.364,12.5523,3528.0335,1657.7238,927.1967,7051.8828,354.8117,1392.4686,7.5314,61.0879,0,0,2.5105,13.3891,11.7155,0,1.6736,6.6946,18.41,0,0,1875.3138,0.8368,0.8368,100.4184,221.7573,606.6946,20.0837,15.8996,71.9665,0.8368,93.7238,631.7992,34.3096,137.2385,126.2008,26.7782,30.1255,4.1841,23.431,262.7615,10.0418,630.9623,471.9665,3.3473
TCGA.2G.AAG8.01A.31R.A430.07,H1.Positive,TGCT,823.9901,0.4306,659.6227,269.1019,508.0644,739.2768,1035.9348,12.4863,3038.4837,281.5624,51.237,14.6391,472.7583,190.7394,37.0284,70.1818,324.6446,644.1224,1712.3494,119.6965,536.051,280.2966,313.8805,20679.9108,27325.0019,26930.2531,4624.2476,4143.3086,2426.223,197.1979,3146.1245,112.377,12204.7414,8995.746,3650.0039,6362.4308,1240.0217,1199.5488,40.4729,285.4633,0,0,11.1946,16.3614,11.1946,21.0976,65.8762,100.3212,69.3207,1.7223,0,2282.8455,7.4617,9.7609,223.8928,324.214,513.2312,53.3898,80.9459,440.8966,18.0836,710.4291,1152.6174,67.5984,155.4333,607.2016,100.7518,155.8638,8.1807,46.5008,624.747,54.2509,449.5079,637.2334,4.3056
TCGA.2G.AAG9.01A.11R.A430.07,H1.Positive,TGCT,495.3996,0.9762,53.6913,424.6492,693.1056,983.5265,1572.6663,55.6437,2358.5113,739.5143,137.1568,52.7151,814.6431,29.2862,78.5845,160.5857,83.4655,463.6974,5194.8749,140.5735,1135.7999,593.5326,684.3197,20122.9335,25440.7858,17233.5278,16695.058,9739.1092,4967.4192,3055.5217,7808.6638,951.7999,49764.9786,9518.2282,3630.4625,4506.1623,2194.9969,519.8292,42.4649,225.9915,0,0,44.4173,65.4057,14.155,0.4881,7.8096,248.4442,141.0616,2.4405,6.8334,9237.3398,3.7437,3.5778,573.5204,197.1934,420.2563,298.7187,212.8127,335.3264,35.6315,3299.0848,1337.4009,187.9195,377.3032,1457.8841,123.0018,178.6455,32.7029,36.1196,70.2868,122.5137,953.2642,871.263,11.2264
TCGA.2G.AAGA.01A.11R.A430.07,H1.Positive,TGCT,1065.7589,2.1415,128.1342,94.5837,168.1092,330.5077,193.8074,3.2123,2077.2731,48.7517,17.1321,1.4277,107.4329,323.7262,4.283,13.563,411.1716,97.4391,173.8199,90.3007,445.7892,54.6087,63.5317,9559.0185,7926.7529,6941.8114,1262.0684,1410.1901,252.6992,87.8023,293.745,23.5567,2960.6496,753.2542,101.7221,6173.9984,566.0748,1842.4199,9.2799,49.2549,0,0,1.0708,4.9969,15.3476,19.2737,41.7596,20.3444,9.9938,0,0,671.723,1.0708,0.7138,144.9094,119.925,697.7782,17.1321,16.0614,199.5182,10.7076,80.307,660.3016,19.6306,107.4329,173.5844,30.6951,83.5192,2.8554,26.0551,550.0134,6.0676,798.0726,509.3245,21.7721
TCGA.2G.AAGC.01A.21R.A430.07,H1.Positive,TGCT,618.0432,0.8639,203.8877,643.1965,690.7127,654.8596,1990.4968,63.9309,2562.851,314.0778,102.3758,9.5032,270.4104,318.3585,72.1382,146.0043,350.324,1426.3499,2741.6847,180.9935,915.3305,596.1123,515.7667,14724.3888,22030.8769,12521.6069,4102.3758,2196.5443,2784.8812,69.9784,1121.8143,5.6156,10189.6328,4858.5659,555.5076,5826.3499,871.2743,1923.5421,184.8812,383.5853,0,0,57.8834,32.8294,6.0475,0.432,13.3909,41.4687,95.0324,1.2959,0,3152.0518,1.7279,2.5918,701.0799,96.3283,865.6587,115.3348,134.7732,820.7343,19.0065,753.7797,1256.5875,355.9395,304.9676,471.2829,95.4644,96.7603,148.1641,185.3132,523.5421,47.9482,1181.4255,477.3218,32.3974
TCGA.2G.AAGE.01A.21R.A430.07,H1.Positive,TGCT,834.3261,0,46.2131,266.3671,371.6303,465.982,888.9602,16.0462,4219.5122,90.7189,47.4968,7.0603,198.973,121.3094,38.5109,50.706,823.4917,713.0937,630.2953,160.4621,451.2195,73.8126,231.7073,11929.3389,14412.009,14476.9512,3132.8626,2085.3659,645.6996,288.19,259.3068,35.9435,6623.8768,1633.9538,212.4519,7880.6162,560.9756,3759.3068,48.1386,96.9191,0,0,5.1348,14.1207,4.4929,0,2.5674,39.7946,34.6598,0,0,2304.878,1.2837,0.6418,234.2747,122.5931,572.5289,55.8408,34.6598,246.4698,7.0603,319.6406,907.5738,62.9012,188.7035,262.8819,39.1528,112.3235,11.5533,21.8228,452.5032,12.1951,756.7394,349.1656,35.9435
TCGA.2G.AAGF.01A.31R.A430.07,H1.Positive,TGCT,1250.5061,1.8021,318.9668,303.9495,350.2027,761.6759,523.8024,10.2117,2982.4298,73.1521,42.649,6.6076,197.6273,145.3672,24.0276,23.4269,1054.2123,276.9185,197.0266,196.4259,690.7944,48.0553,238.4742,11514.0111,18280.4385,11290.3679,2404.5653,2351.1038,314.1613,57.6663,131.5513,28.8332,4326.7758,2052.7947,188.6169,5635.0803,1803.8745,1147.3194,26.4304,74.4857,0,0,0.6007,13.2152,6.6076,0.6007,14.4166,106.3223,16.2187,0,0,1226.0099,1.2014,0,172.3983,246.8839,517.1948,49.2566,35.4408,291.335,8.4097,171.7976,2284.4271,52.8608,123.7423,298.4052,52.2601,167.5927,6.0069,31.2359,449.9174,5.4062,2801.0212,625.9198,48.0553
TCGA.2G.AAGG.01A.11R.A430.07,H1.Negative,TGCT,245.5815,2.1739,34.7826,1339.1304,1966.8478,1176.6304,1717.9348,19.5652,2605.9783,271.2228,87.5,38.587,418.4783,29.8913,27.1739,76.087,1750.5435,723.3696,925,963.587,773.913,217.3913,264.1304,42777.5815,69001.5326,43293.0326,4351.6304,3040.7609,1942.3913,419.5652,484.2391,226.6304,12661.9565,5204.9946,369.0217,5857.0652,954.3478,526.6304,58.6957,222.8261,0,0,16.3043,12.5,46.7391,1.6304,4.8913,48.3696,44.0217,0,0.5435,2255.4348,4.6957,2.3696,283.1522,252.7174,167.3913,54.8913,120.1087,346.7391,151.6304,407.0652,1458.1522,171.7391,228.2609,2630.1413,47.8261,207.0652,28.8043,79.8913,49.4565,14.6739,2613.0435,1081.5217,167.9348
TCGA.2G.AAGI.05A.11R.A430.07,H1.Positive,TGCT,441.0639,1.082,190.7853,755.9282,565.8642,906.6811,2461.0946,42.9177,1885.8534,704.1926,323.1449,114.3269,344.4234,28.1309,65.2782,118.6548,190.7853,798.4853,2892.0747,152.5561,1377.6936,571.9953,227.5719,17865.9886,22445.3485,14673.0358,8994.6804,4363.1774,3490.037,773.6002,2095.7533,120.0974,18378.5051,5433.0574,1000.8115,5143.63,737.5349,732.8465,147.507,239.4734,0,0,53.7373,36.4259,16.2294,0,1.4426,36.4259,89.8025,0,0,3092.9583,38.7594,20.3877,802.8131,116.8515,596.8804,108.5565,384.0952,1077.9912,102.4254,1243.8914,1490.5779,523.6678,280.9485,726.3836,71.4093,93.0484,51.934,32.0981,77.5403,64.5568,182.851,395.6361,7.2131
